feature,importance
symbol=ACAUSDT,6.162297912391206e-09
symbol=ONTUSDT,6.16226728971936e-09
symbol=FLMUSDT,6.161199697639833e-09
symbol=XNOUSDT,6.1567066589506676e-09
symbol=FLOKIUSDT,6.155295941014475e-09
symbol=PSGUSDT,6.153749789654725e-09
symbol=PROMUSDT,6.150405826770643e-09
symbol=ILVUSDT,6.145157332905703e-09
symbol=BIFIUSDT,6.14225605623584e-09
symbol=AVAXUSDT,6.137956911659388e-09
symbol=DIAUSDT,6.137914522754878e-09
symbol=PORTOUSDT,6.136311846876062e-09
symbol=LDOUSDT,6.133808721860703e-09
symbol=ACEUSDT,6.132015180020972e-09
symbol=MLNUSDT,6.129200192442895e-09
symbol=ALICEUSDT,6.127482660914579e-09
symbol=FLOWUSDT,6.125413145436805e-09
symbol=THETAUSDT,6.125181830351645e-09
symbol=ACHUSDT,6.124547472995731e-09
symbol=VETUSDT,6.12442041720411e-09
symbol=ALGOUSDT,6.12378850539339e-09
symbol=CELRUSDT,6.123095017430746e-09
symbol=QNTUSDT,6.1195868465755055e-09
symbol=ANKRUSDT,6.117921895952828e-09
symbol=WINUSDT,6.117719902015484e-09
symbol=GRTUSDT,6.115889523969341e-09
symbol=BELUSDT,6.1150346189332e-09
symbol=ASRUSDT,6.11488817546975e-09
symbol=GLMUSDT,6.114255295602413e-09
symbol=MANAUSDT,6.10124705235304e-09
symbol=OXTUSDT,6.0982788560521586e-09
symbol=ZILUSDT,6.0975272313313005e-09
symbol=DYDXUSDT,5.159515600073834e-09
symbol=HBARUSDT,5.094258848795585e-09
symbol=SYNUSDT,4.987598039260788e-09
symbol=STORJUSDT,4.917587614966811e-09
symbol=ICXUSDT,4.754587072442055e-09
symbol=CKBUSDT,4.690529963116798e-09
symbol=BSWUSDT,4.672154454631395e-09
symbol=VIDTUSDT,4.660666349363869e-09
symbol=AIUSDT,4.6269369353354795e-09
symbol=MAVUSDT,4.622555850207218e-09
symbol=SXPUSDT,4.583777858865874e-09
symbol=TSTUSDT,4.518985292184544e-09
symbol=AEVOUSDT,4.470583633812805e-09
symbol=RNDRUSDT,4.464088702869655e-09
symbol=GNSUSDT,3.2922879944181466e-09
symbol=PEPEUSDT,1.5815880488369137e-09
symbol=WIFUSDT,1.3969356415447196e-09
symbol=SANDUSDT,1.3658701928299962e-09
symbol=ARBUSDT,1.305059306886919e-09
symbol=DASHUSDT,1.2628339801089775e-09
symbol=OMUSDT,1.2553168169333663e-09
symbol=CTSIUSDT,1.231624319360751e-09
days_since_last,0.0
